Week,Day,Date,Time,Winner/tie,visit,Loser/tie,,PtsW,PtsL,YdsW,TOW,YdsL,TOL
WildCard,Sat,January 9,4:35PM,Kansas City Chiefs,@,Houston Texans,boxscore,30,0,314,1,226,5
WildCard,Sat,January 9,8:15PM,Pittsburgh Steelers,@,Cincinnati Bengals,boxscore,18,16,369,2,279,4
WildCard,Sun,January 10,1:05PM,Seattle Seahawks,@,Minnesota Vikings,boxscore,10,9,226,1,183,1
WildCard,Sun,January 10,4:42PM,Green Bay Packers,@,Washington Redskins,boxscore,35,18,346,1,354,1
Division,Sat,January 16,4:35PM,New England Patriots,,Kansas City Chiefs,boxscore,27,20,340,0,378,1
Division,Sat,January 16,8:15PM,Arizona Cardinals,,Green Bay Packers,boxscore,26,20,368,2,386,1
Division,Sun,January 17,1:06PM,Carolina Panthers,,Seattle Seahawks,boxscore,31,24,295,0,403,2
Division,Sun,January 17,4:40PM,Denver Broncos,,Pittsburgh Steelers,boxscore,23,16,324,0,396,1
ConfChamp,Sun,January 24,3:05PM,Denver Broncos,,New England Patriots,boxscore,20,18,244,1,336,2
ConfChamp,Sun,January 24,6:42PM,Carolina Panthers,,Arizona Cardinals,boxscore,49,15,476,1,287,7
SuperBowl,Sun,February 7,6:39PM,Denver Broncos,N,Carolina Panthers,boxscore,24,10,194,2,315,4
