RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,NY Giants,1610,402.5,1144,286,466,116.5,102,25.5
2,New England,1188,396,863,287.7,325,108.3,85,28.3
3,New Orleans,1098,549,894,447,204,102,77,38.5
4,San Francisco,735,367.5,442,221,293,146.5,53,26.5
5,Denver,699,349.5,424,212,275,137.5,39,19.5
6,Houston,655,327.5,336,168,319,159.5,44,22
7,Baltimore,625,312.5,422,211,203,101.5,40,20
8,Detroit,412,412,380,380,32,32,28,28
9,Pittsburgh,400,400,244,244,156,156,23,23
10,Green Bay,388,388,241,241,147,147,20,20
11,Cincinnati,300,300,224,224,76,76,10,10
12,Atlanta,247,247,183,183,64,64,2,2
