RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Arizona,1493,373.3,1127,281.8,366,91.5,118,29.5
2,Philadelphia,1080,360,857,285.7,223,74.3,74,24.7
3,Pittsburgh,909,303,634,211.3,275,91.7,85,28.3
4,Baltimore,695,231.7,421,140.3,274,91.3,54,18
5,LA Chargers,647,323.5,465,232.5,182,91,47,23.5
6,Tennessee,391,391,275,275,116,116,10,10
7,Indianapolis,366,366,302,302,64,64,17,17
8,NY Giants,307,307,169,169,138,138,11,11
9,Minnesota,301,301,153,153,148,148,14,14
10,Miami,276,276,224,224,52,52,9,9
11,Carolina,269,269,194,194,75,75,13,13
12,Atlanta,250,250,190,190,60,60,24,24
