RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Carolina,1508,377,938,234.5,570,142.5,101,25.3
2,Indianapolis,1219,406.3,894,298,325,108.3,93,31
3,New England,1127,375.7,792,264,335,111.7,73,24.3
4,Green Bay,778,389,490,245,288,144,50,25
5,Philadelphia,652,326,351,175.5,301,150.5,23,11.5
6,Tennessee,608,304,349,174.5,259,129.5,34,17
7,Kansas City,408,408,212,212,196,196,31,31
8,LA Rams,380,380,316,316,64,64,23,23
9,Seattle,340,340,291,291,49,49,27,27
10,Denver,322,322,176,176,146,146,10,10
11,Baltimore,255,255,201,201,54,54,17,17
12,Dallas,204,204,132,132,72,72,10,10
Glossary,,,,,,,,,
