RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Pittsburgh,1338,334.5,811,202.8,527,131.8,107,26.8
2,Seattle,1123,374.3,677,225.7,446,148.7,64,21.3
3,Carolina,981,327,599,199.7,382,127.3,66,22
4,New England,727,363.5,530,265,197,98.5,41,20.5
5,Denver,594,297,401,200.5,193,96.5,44,22
6,Washington,409,204.5,255,127.5,154,77,27,13.5
7,Cincinnati,327,327,243,243,84,84,17,17
8,Indianapolis,305,305,247,247,58,58,18,18
9,Jacksonville,292,292,205,205,87,87,3,3
10,Chicago,282,282,185,185,97,97,21,21
11,Tampa Bay,243,243,168,168,75,75,10,10
12,NY Giants,132,132,91,91,41,41,0,0
